num,unique_num,channel,table_name,dt
13660418,11458129,1,gdl_jrs_msg_parse,2019-04-07
17196687,13999235,1,gdl_jrs_msg_parse,2019-04-08
4295602,3299276,2,gdl_jrs_msg_parse,2019-04-08
3343532,2156075,3,gdl_jrs_msg_parse,2019-04-08
1564802674,754145212,0,gdl_jrs_msg_parse,2019-04-08
16970692,13983913,1,gdl_jrs_msg_parse,2019-04-09
3980658,3089013,2,gdl_jrs_msg_parse,2019-04-09
3257104,2208267,3,gdl_jrs_msg_parse,2019-04-09
1558899742,759295285,0,gdl_jrs_msg_parse,2019-04-09
5267314,3555358,3,gdl_jrs_msg_parse,2019-04-10
23312300,17931410,1,gdl_jrs_msg_parse,2019-04-10
5536897,4074441,2,gdl_jrs_msg_parse,2019-04-10
1932426025,849056166,0,gdl_jrs_msg_parse,2019-04-10
22246321,17255898,1,gdl_jrs_msg_parse,2019-04-11
1915499487,859622235,0,gdl_jrs_msg_parse,2019-04-11
5507204,4052237,2,gdl_jrs_msg_parse,2019-04-11
4300366,2657151,3,gdl_jrs_msg_parse,2019-04-11
23912405,18421031,1,gdl_jrs_msg_parse,2019-04-12
1929950246,837180989,0,gdl_jrs_msg_parse,2019-04-12
5765340,4240440,2,gdl_jrs_msg_parse,2019-04-12
5103599,3194915,3,gdl_jrs_msg_parse,2019-04-12
5847244,4361174,2,gdl_jrs_msg_parse,2019-04-13
5159409,3205729,3,gdl_jrs_msg_parse,2019-04-13
1593056979,746110065,0,gdl_jrs_msg_parse,2019-04-13
22817974,17607898,1,gdl_jrs_msg_parse,2019-04-13
5768625,4298176,2,gdl_jrs_msg_parse,2019-04-14
4962053,3114305,3,gdl_jrs_msg_parse,2019-04-14
1373167552,662396630,0,gdl_jrs_msg_parse,2019-04-14
22091772,17141882,1,gdl_jrs_msg_parse,2019-04-14
5105970,3201106,3,gdl_jrs_msg_parse,2019-04-15
6153927,4447400,2,gdl_jrs_msg_parse,2019-04-15
24105533,18576018,1,gdl_jrs_msg_parse,2019-04-15
2061985863,917069722,0,gdl_jrs_msg_parse,2019-04-15
24823276,18927958,1,gdl_jrs_msg_parse,2019-04-16
6244392,4546155,2,gdl_jrs_msg_parse,2019-04-16
1872917994,822487357,0,gdl_jrs_msg_parse,2019-04-16
4433471,2630953,3,gdl_jrs_msg_parse,2019-04-16
556063,408038,2,gdl_jrs_msg_parse,2019-04-17
745161,530751,3,gdl_jrs_msg_parse,2019-04-17
3073822,2516750,1,gdl_jrs_msg_parse,2019-04-17
184332076,124160409,0,gdl_jrs_msg_parse,2019-04-17
5991860,4436497,2,gdl_jrs_msg_parse,2019-04-19
23097810,17638959,1,gdl_jrs_msg_parse,2019-04-19
4477603,2621795,3,gdl_jrs_msg_parse,2019-04-19
2048115499,853590981,0,gdl_jrs_msg_parse,2019-04-19
6307744,4696702,2,gdl_jrs_msg_parse,2019-04-20
1636616789,746200884,0,gdl_jrs_msg_parse,2019-04-20
