link,org_type,dt,overdue_amount,loan_amount,should_repay_amount,amount,balance,review_y,review_n,cnt,unique_num
01,01,20200401,,,,,0.0,0,0,2847,2648
01,18,20190901,,,,,0.0,0,0,576550,538165
01,99,20200801,,,,,0.0,0,0,5654,4886
02,2,20200201,,,,,0.0,0,0,190111,152323
03,07,20200501,,,,0.0,0.0,11864847,617827,12482674,6818551
03,09,20191101,,,,,0.0,8365056,3258048,11623104,6916530
05,06,20190601,,,,,61251233.94999998,0,0,162611,56147
06,16,20200201,19728870023.4976,,,,0.0,0,0,1368572,991000
07,15,20200201,,5000.0,346136201.4899997,,0.0,0,0,170004,71058
07,22,20190601,,30020331.500000004,17242937448.529804,,2372785627912399.5,0,0,4838000,2714742
,,20200901,,,,,0.0,0,0,616458487,269155524
,02,20190901,,,,,0.0,0,0,250542600,106102567
,24,20200901,,,,,0.0,0,0,20664212,7819041
02,,20190901,,,,,0.0,0,0,15558858,11448376
04,02,20190701,,55000.0,,,0.0,0,0,7,7
06,05,20190801,942811943.7800002,,,,0.0,0,0,195590,82972
01,99,20200301,,,,,0.0,0,0,8363,6789
02,24,20191001,,,,,0.0,0,0,119082,85627
05,2,20190601,,,,,292008572024.58295,0,0,527477,465594
05,21,20200401,,,,,2115452426.9399996,0,0,39200442,21791162
05,99,20200601,,,,,0.0,0,0,1705465,857758
07,07,20191201,,8036999.0,3796184762.6100125,,98522732.19000001,0,0,10023095,4208625
07,18,20190901,,1811242.9600000002,14586716323.056997,0.0,50636172.379999995,0,0,12420409,4090850
07,19,20190401,,0.0,420920860410.5618,518598303837.0466,355401012676268.25,0,0,65448235,40862594
07,26,20200601,,,1311254881.7099993,18481198827.25853,0.0,0,0,2711153,1128700
,26,20200901,,,,,0.0,0,0,4375449,1517033
07,24,20190901,,100000.0,29514538441.689987,20097726761.02,2589012964.301377,0,0,3454819,2133184
06,3,20200601,0.0,,,,0.0,0,0,10,10
04,28,20200401,,0.0,,,0.0,0,0,1,1
07,22,20190501,,8941340.87,11728704782.699984,,1489936412275765.2,0,0,5985010,4386883
01,02,20200201,,,,,0.0,0,0,11818,7746
01,15,20200801,,,,,0.0,0,0,14918,14879
01,26,20200301,,,,,0.0,0,0,138,97
03,09,20200601,,,,0.0,0.0,762100,701785,1463885,874431
04,08,20191201,,2274101467.02,,,0.0,0,0,132468,54880
05,09,20200101,,,,,5962809.379999997,0,0,3479302,1823242
05,17,20190701,,,,,11061392337665.893,0,0,9661186,4942429
05,21,20190701,,,,,544621335.2920002,0,0,15192370,9770577
06,04,20191201,2378043943.0625973,,,,147917.51,0,0,2869389,1387616
06,08,20200901,618990572.8027055,,,,225710.0,0,0,335459,155189
06,18,20191201,1502274646.6599994,,,,0.0,0,0,1146105,454061
06,25,20190801,517754921.32000023,,,,65698746.580000006,0,0,9346,3273
07,02,20191101,,97000.0,89918221810.02507,1284555.9500000002,299782444.52000004,0,0,87882373,22477128
,01,20200101,,,,,0.0,0,0,43135258,34880765
01,,20200101,,,,,0.0,0,0,9733647,6761183
05,99,20190801,,,,,0.0,0,0,688057,451530
06,24,20190501,3037501507.3000007,,,,38688690.29,0,0,81953,35140
06,24,20190901,15083739544.650614,,,,18973525022.040253,0,0,236105,103690
01,01,20190901,,,,,0.0,0,0,800,764
01,05,20200601,,,,,0.0,0,0,4365,2573
02,07,20190601,,,,,0.0,0,0,819822,581092
03,26,20200201,,,,0.0,0.0,125,179782,179907,175945
04,04,20200601,,79034250.58000001,,,0.0,0,0,561313,527366
04,22,20200301,,610053119.2100006,,,75523148.46,0,0,72002,50046
05,09,20200701,,,,,33540071.919999998,0,0,2118131,1216492
05,17,20191201,,,,,1748841.7099999986,0,0,10507090,5842057
06,21,20200101,12424534671.094698,,,,19348598.87,0,0,4732598,2346644
,05,20190601,,,,,0.0,0,0,2750710,2048542
,26,20200101,,,,,0.0,0,0,6834078,1268037
,26,20200801,,,,,0.0,0,0,5044240,1707910
05,,20190601,,,,,2941143751380.862,0,0,22855403,13887023
01,21,20190701,,,,,0.0,0,0,36,31
01,02,20191101,,,,,0.0,0,0,144737,59957
01,04,20191201,,,,,0.0,0,0,10724,9289
02,07,20200901,,,,,0.0,0,0,675737,541188
02,08,20200601,,,,,0.0,0,0,62232,34131
03,05,20200201,,,,,0.0,1936570,185963,2122533,965137
04,02,20200301,,47884569619.851105,,,0.0,0,0,21737322,10154661
04,08,20190701,,3636558150.49,,,0.0,0,0,193156,119905
04,17,20200301,,4830651648.049999,,,0.0,0,0,3270059,1887449
04,18,20200101,,311005954.3,,,0.0,0,0,85213,60528
04,2,20191201,,10708443480.650003,,,212517502340.52994,0,0,249128,191481
04,25,20191201,,1748307.7599999998,,,0.0,0,0,2066,1818
05,16,20200601,,,,,0.0,0,0,1454732,1223813
05,22,20200401,,,,,1527961049.4,0,0,11917206,5131299
07,25,20200501,,,1480637457.4799995,338466.23000000004,17763243.830000002,0,0,15149,5527
,05,20200501,,,,,0.0,0,0,322599,227355
,07,20191101,,,,,0.0,0,0,48013648,31224132
03,,20190701,,,,,0.0,10191146,2784138,12975284,9026424
05,,20200501,,,,,711280684033.8942,0,0,33989256,19203389
07,,20191101,,8676579235.870003,1963683764339.4773,,234553215872.49658,0,0,212473830,57741023
05,28,20190801,,,,,0.0,0,0,61,60
04,02,20190801,,46253523474.5408,,,0.0,0,0,25220733,9596933
04,19,20190901,,29421645854.56001,,,38545155793.92,0,0,1123337,1000800
05,06,20190501,,,,,53596912.39999999,0,0,129201,54079
04,07,20190401,,2603529474.229999,,,40001.72,0,0,1880237,450750
03,01,20190401,,,,,0.0,5516053,2271446,7787499,7377163
02,05,20200801,,,,,0.0,0,0,119310,95509
03,01,20201001,,,,,0.0,43,84,127,100
04,28,20190701,,0.0,,,0.0,0,0,145,143
05,17,20200601,,,,,12108.32,0,0,28639796,12354969
06,10,20190501,0.0,,,,0.0,0,0,3948,2119
07,16,20200201,,188566800.0,4200024991.1359982,5903546412.300004,0.0,0,0,3232301,1256724
07,2,20200901,,0.0,18481283955.27139,29536366593.750927,388212765.7800001,0,0,7402232,5708411
,22,20190901,,,,,0.0,0,0,15391473,13028011
01,26,20200701,,,,,0.0,0,0,132,91
01,09,20190401,,,,,0.0,0,0,2395467,1425047
01,18,20200801,,,,,0.0,0,0,314272,278335
01,19,20190701,,,,,0.0,0,0,2590,2125
02,01,20200101,,,,,0.0,0,0,99388,65589
03,05,20191001,,,,,0.0,26811,79051,105862,90547
03,18,20201001,,,,,0.0,12212,16954,29166,22252
04,99,20200101,,3274233000.939998,,,0.0,0,0,375933,207160
05,19,20190401,,,,,84886874684.02657,0,0,3972963,2989437
05,19,20190501,,,,,222484597550.99878,0,0,6521435,4667866
06,26,20190401,40463522.49000002,,,,1924237878266.3901,0,0,13579,9879
07,05,20191101,,7211300.0,2275342043.4799995,,924598.4761225763,0,0,1072356,631860
07,21,20200601,,0.0,14920730690.37997,983027755704.5853,4672356683.430004,0,0,149374349,51914444
07,25,20191001,,,2522432122.519999,10000.0,68312851.15000002,0,0,79548,40240
07,99,20190701,,974150.0,2388574663.770002,6814.86,7972153999282.34,0,0,12195135,4794352
,06,20191101,,,,,0.0,0,0,389517,326620
,3,20200401,,,,,0.0,0,0,285,57
06,,20191101,359482868810.2909,,,,123997063383.63615,0,0,41492055,21383497
07,06,20200701,,,649768452.3200005,,0.0,0,0,378994,47377
06,13,20190701,0.0,,,,0.0,0,0,1,1
02,28,20190901,,,,,0.0,0,0,4,4
04,04,20190801,,241837128.27000004,,,0.0,0,0,113483,84847
04,02,20190901,,27438019780.09105,,,0.0,0,0,25475446,16240737
07,19,20190901,,60000.0,225075607503.28217,873169062100.3398,94420901399.2603,0,0,181718277,120129556
07,02,20190601,,0.0,888489.0299999999,887916.5100000001,0.0,0,0,25749,17109
01,99,20200501,,,,,0.0,0,0,13856,6986
02,18,20200201,,,,,0.0,0,0,1016203,912451
02,2,20201001,,,,,0.0,0,0,2736,2479
03,24,20200501,,,,0.0,0.0,87632,45306,132938,100694
03,25,20190801,,,,,0.0,118,1,119,113
03,99,20191201,,,,,0.0,645620,773008,1418628,957335
04,16,20200701,,113299443.0,,,0.0,0,0,8828,6768
04,17,20190501,,5919137444.650001,,,2732311.830000001,0,0,3880587,2295057
04,21,20191201,,3741758479.7331505,,,6048065384.620004,0,0,183157,144364
06,06,20200901,988320384.5299995,,,,0.0,0,0,53003,11043
07,04,20190401,,829000.0,11300550574.900042,1220.0,8643784687.059998,0,0,3990396,2091551
07,09,20200101,,906038256.8,18855171706.373344,145607790.58000004,4042200.6700000004,0,0,57968751,28859694
07,15,20191201,,,138946807.66999987,,0.0,0,0,32280,16264
07,16,20200601,,68617200.0,4237530838.1800003,10198002017.559998,0.0,0,0,2762407,857908
07,22,20200301,,162939494.98,122375365787.26295,2079434.1399999994,459447714.92,0,0,40203834,10088709
,01,20200501,,,,,0.0,0,0,39656071,31510479
01,,20200501,,,,,0.0,0,0,9258033,6465238
07,06,20191201,,,869254973.514,,27466.67,0,0,476466,88206
07,06,20200801,,0.0,615017278.9424398,,0.0,0,0,344635,47295
01,06,20200901,,,,,0.0,0,0,533,463
02,19,20190701,,,,,0.0,0,0,891146,422650
02,99,20201001,,,,,0.0,0,0,18133,16152
03,26,20190501,,,,,0.0,36,253,289,271
03,26,20190701,,,,,0.0,34,656,690,667
04,18,20190601,,180834435.88,,,0.0,0,0,92788,75276
06,04,20200501,5802603912.706,,,,210.89000000000001,0,0,6173158,2062970
06,09,20200201,13802647516.162289,,,,3544.0000000000005,0,0,5703269,1470085
06,10,20190401,0.0,,,,0.0,0,0,2177,1482
,08,20190601,,,,,0.0,0,0,290567,191052
,21,20191101,,,,,0.0,0,0,383356527,88117245
,28,20200401,,,,,0.0,0,0,16112,15619
,23,20200101,,,,,0.0,0,0,256,20
06,20,20200801,9092.99,,,,0.0,0,0,5,5
01,04,20190701,,,,,0.0,0,0,113324,96059
