var,date_start,date_end,psi,taub
cc1p_wwwlnc_m6,2019-03-01,2019-04-01,0.0,
cc1p_wwwlnc_m3,2019-03-01,2019-04-01,0.0,
cc1p_wwwlnc_m1,2019-03-01,2019-04-01,0.0,
cc1p_wwwlbk_m6,2019-03-01,2019-04-01,0.0,
cc1p_wwwlbk_m3,2019-03-01,2019-04-01,0.0,
cc1p_wwwlbk_m1,2019-03-01,2019-04-01,0.0,
cc1p_wwwcfc_m6,2019-03-01,2019-04-01,0.0,
cc1p_wwwcfc_m3,2019-03-01,2019-04-01,0.0,
cc1p_wwwcfc_m1,2019-03-01,2019-04-01,0.0,
cc1p_wwwccb_m6,2019-03-01,2019-04-01,0.0,
cc1p_wwwccb_m3,2019-03-01,2019-04-01,0.0,
cc1p_wwwccb_m1,2019-03-01,2019-04-01,0.0,
dotr_wwwwww_om6,2019-03-01,2019-04-01,0.0,
dotr_wwwwww_om4,2019-03-01,2019-04-01,0.0,
dotr_wwwwww_om3,2019-03-01,2019-04-01,0.0,
dotr_wwwwww_om2,2019-03-01,2019-04-01,0.0,
dotr_wwwwww_om1,2019-03-01,2019-04-01,0.0,
donr_wwwwww_om6,2019-03-01,2019-04-01,0.0,
donr_wwwwww_om5,2019-03-01,2019-04-01,0.0,
donr_wwwwww_om4,2019-03-01,2019-04-01,0.0,
donr_wwwwww_om3,2019-03-01,2019-04-01,0.0,
donr_wwwwww_om2,2019-03-01,2019-04-01,0.0,
donr_wwwwww_om1,2019-03-01,2019-04-01,0.0,
donr_wwwpdl_om6,2019-03-01,2019-04-01,0.0,
donr_wwwpdl_om5,2019-03-01,2019-04-01,0.0,
donr_wwwpdl_om4,2019-03-01,2019-04-01,0.0,
donr_wwwpdl_om3,2019-03-01,2019-04-01,0.0,
donr_wwwpdl_om2,2019-03-01,2019-04-01,0.0,
donr_wwwpdl_om1,2019-03-01,2019-04-01,0.0,
donr_wwwofc_om6,2019-03-01,2019-04-01,0.0,
donr_wwwmlc_om3,2019-03-01,2019-04-01,0.0,
donr_wwwlnc_om6,2019-03-01,2019-04-01,0.0,
donr_wwwlnc_om5,2019-03-01,2019-04-01,0.0,
