var,date_start,date_end,psi,taub
credit_card__59_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__59_amount_cnt_6m,2019-03-01,2019-04-01,inf,
credit_card__59_amount_cnt_3m,2019-03-01,2019-04-01,inf,
credit_card__59_amount_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__58_cnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__58_cnt_3m,2019-03-01,2019-04-01,0.0,
credit_card__58_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__56_cnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__56_cnt_3m,2019-03-01,2019-04-01,0.0,
credit_card__56_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__55_orgcnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__55_orgcnt_3m,2019-03-01,2019-04-01,inf,
credit_card__55_orgcnt_1m,2019-03-01,2019-04-01,inf,
credit_card__55_cnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__55_cnt_3m,2019-03-01,2019-04-01,0.0,
credit_card__55_cnt_1m,2019-03-01,2019-04-01,0.0,
credit_card__55_amount_sum_6m,2019-03-01,2019-04-01,inf,
credit_card__55_amount_sum_3m,2019-03-01,2019-04-01,inf,
credit_card__55_amount_sum_1m,2019-03-01,2019-04-01,inf,
credit_card__55_amount_max_6m,2019-03-01,2019-04-01,inf,
credit_card__55_amount_max_3m,2019-03-01,2019-04-01,inf,
credit_card__55_amount_max_1m,2019-03-01,2019-04-01,inf,
credit_card__55_amount_cnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__55_amount_cnt_3m,2019-03-01,2019-04-01,0.0,
credit_card__55_amount_cnt_1m,2019-03-01,2019-04-01,0.0,
credit_card__55_amount_big_6m,2019-03-01,2019-04-01,0.0,
credit_card__55_amount_big_3m,2019-03-01,2019-04-01,0.0,
credit_card__55_amount_big_1m,2019-03-01,2019-04-01,inf,
credit_card__54_cnt_6m,2019-03-01,2019-04-01,inf,
credit_card__54_cnt_3m,2019-03-01,2019-04-01,inf,
credit_card__54_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__53_cnt_6m,2019-03-01,2019-04-01,inf,
credit_card__53_cnt_3m,2019-03-01,2019-04-01,inf,
credit_card__53_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__52_cnt_6m,2019-03-01,2019-04-01,inf,
credit_card__52_cnt_3m,2019-03-01,2019-04-01,inf,
credit_card__52_cnt_1m,2019-03-01,2019-04-01,inf,
credit_card__20_orgcnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__20_orgcnt_3m,2019-03-01,2019-04-01,0.0,
credit_card__20_orgcnt_1m,2019-03-01,2019-04-01,inf,
credit_card__20_cnt_6m,2019-03-01,2019-04-01,0.0,
credit_card__20_cnt_3m,2019-03-01,2019-04-01,0.0,
credit_card__20_cnt_1m,2019-03-01,2019-04-01,0.0,
credit_card__20_amount_sum_6m,2019-03-01,2019-04-01,inf,
