num,unique_num,loan_properties,table_name,dt
127336,121660,1,gdl_jrs_msg_parse,2019-03-23
2034772,1671515,3,gdl_jrs_msg_parse,2019-03-23
5522415,4717151,4,gdl_jrs_msg_parse,2019-03-23
933665,713611,2,gdl_jrs_msg_parse,2019-03-23
19633074,14231955,0,gdl_jrs_msg_parse,2019-03-23
66184,61568,1,gdl_jrs_msg_parse,2019-03-24
3075766,2300080,3,gdl_jrs_msg_parse,2019-03-24
11587071,9281479,4,gdl_jrs_msg_parse,2019-03-24
1070524,775112,2,gdl_jrs_msg_parse,2019-03-24
32195489,22089784,0,gdl_jrs_msg_parse,2019-03-24
284030,215767,1,gdl_jrs_msg_parse,2019-03-25
3647041,2673360,3,gdl_jrs_msg_parse,2019-03-25
19423239,16130121,4,gdl_jrs_msg_parse,2019-03-25
1831807,1399343,2,gdl_jrs_msg_parse,2019-03-25
46449856,32292789,0,gdl_jrs_msg_parse,2019-03-25
94014,92289,1,gdl_jrs_msg_parse,2019-03-27
1004639,909721,3,gdl_jrs_msg_parse,2019-03-27
6212783,5858844,4,gdl_jrs_msg_parse,2019-03-27
559904,515019,2,gdl_jrs_msg_parse,2019-03-27
11441993,9943032,0,gdl_jrs_msg_parse,2019-03-27
1554,1539,1,gdl_jrs_msg_parse,2019-03-28
44265,41846,3,gdl_jrs_msg_parse,2019-03-28
148429,140290,4,gdl_jrs_msg_parse,2019-03-28
19250,17452,2,gdl_jrs_msg_parse,2019-03-28
398591,346597,0,gdl_jrs_msg_parse,2019-03-28
3477,3415,1,gdl_jrs_msg_parse,2019-03-31
178942,171648,3,gdl_jrs_msg_parse,2019-03-31
1052562,1031981,4,gdl_jrs_msg_parse,2019-03-31
35023,33791,2,gdl_jrs_msg_parse,2019-03-31
1980317,1842436,0,gdl_jrs_msg_parse,2019-03-31
172,172,1,gdl_jrs_msg_parse,2019-04-01
12312,11873,3,gdl_jrs_msg_parse,2019-04-01
32535,31271,4,gdl_jrs_msg_parse,2019-04-01
3176,3074,2,gdl_jrs_msg_parse,2019-04-01
82151,73778,0,gdl_jrs_msg_parse,2019-04-01
270,270,1,gdl_jrs_msg_parse,2019-04-02
17644,17447,3,gdl_jrs_msg_parse,2019-04-02
20135,19629,4,gdl_jrs_msg_parse,2019-04-02
3427,3381,2,gdl_jrs_msg_parse,2019-04-02
111581,107437,0,gdl_jrs_msg_parse,2019-04-02
64212,62467,1,gdl_jrs_msg_parse,2019-04-03
1312929,1172017,3,gdl_jrs_msg_parse,2019-04-03
4638213,4285289,4,gdl_jrs_msg_parse,2019-04-03
