活跃借记卡数量,活跃信用卡数量,活跃借记卡银行总和,活跃信用卡银行总和,活跃银行,拥有超过5张借记卡的用户数,拥有超过10张借记卡的用户数,拥有超过5张信用卡的用户数,拥有超过10张信用卡的用户数,拥有超过50张信用卡的用户数,拥有超过5家借记卡银行的用户数,拥有超过10家借记卡银行的用户数,拥有超过5家信用卡银行的用户数,拥有超过10家信用卡银行的用户数,拥有超过5家银行的用户数,拥有超过10家银行的用户数,独立用户数,短信条数,dt,prov
11858659,10376918,10620796,9707671,19333019,869966,837401,1090451,844470,833665,840935,833871,1019850,835306,1168887,840562,11721933,11721933,2019/11/1,山西
36770288,9664682,31933256,9075895,40099158,1534739,1465196,1613224,1465996,1458371,1466141,1458469,1566984,1460273,1697206,1465486,29763919,29763919,2019/6/1,四川
10211794,6067336,8789510,5479050,13521537,1045195,1002346,1077787,993221,986563,989156,986578,1044345,988056,1092339,990312,9946753,9946753,2019/4/1,上海
110628130,65007450,96974196,58166441,146493996,3770371,3136498,5361660,3336569,3060632,3256196,3068650,4753303,3151988,6371312,3342460,78730788,78730788,2020/8/1,广东
7162988,6387448,6519237,6119553,12154004,720321,710648,818111,711608,709568,710777,709573,789856,709738,851273,710469,8174100,8174100,2019/5/1,山西
3300499,1850188,2889906,1768144,4433260,220537,214214,248407,214419,213757,214251,213762,240538,213825,265159,214212,2959006,2959006,2019/5/1,宁夏
9903800,8690878,8850031,8146205,16190004,708128,683211,881556,687057,680400,685256,680496,823200,681097,940445,684023,9898053,9898053,2019/9/1,山西
46442424,12983312,38665561,12022708,48367790,1203553,929547,1219491,922964,905841,944039,906768,1128981,909561,1487006,927434,30075571,30075571,2020/1/1,湖南
18977026,10183410,14326732,8762408,21555782,1126259,996440,1136760,937616,911164,930569,911689,1042341,917006,1181555,928493,13299385,13299385,2019/9/1,上海
598361,178208,537226,162987,663050,109216,107894,109027,107875,107813,108081,107828,108340,107820,109784,107871,594805,594805,2020/3/1,西藏
28262962,17558102,25527183,16206168,39809355,1575665,1467620,2009323,1495652,1456999,1487783,1458276,1873569,1466523,2216937,1494206,23716984,23716984,2020/4/1,河北
20390920,9097902,18324961,8564206,25961773,936499,904128,1147011,911488,902150,906997,902187,1089735,903775,1252015,910006,17508350,17508350,2019/9/1,广西
12586222,7480646,10332857,6608401,15957107,1050952,986550,1093252,963361,950653,955565,950685,1039097,953477,1110254,957976,10963162,10963162,2019/5/1,上海
14598260,10600255,13151760,10141266,22433587,1308473,1282168,1497990,1286776,1280694,1283673,1280661,1447988,1281306,1614728,1284129,14602157,14602157,2019/4/1,福建
1958500,475481,1771988,456050,2189676,114270,113144,116229,113054,113027,113111,113027,115128,113028,118710,113050,1832917,1832917,2019/4/1,青海
22658047,8572849,19888985,7918077,26582414,840469,690982,909510,691752,676890,716283,678215,845954,680560,1120449,702315,15679525,15679525,2020/5/1,江西
13761005,4167869,12600765,4015643,16252536,669364,652317,718112,653015,651297,653801,651309,705638,651741,770744,653270,11842468,11842468,2019/4/1,重庆
19664594,12004755,17612504,10848937,26857759,1166280,1077366,1343666,1098175,1066135,1092333,1066909,1262950,1075925,1463839,1093325,15611611,15611611,2019/10/1,北京
21098114,4578630,17857678,4338168,21763878,503639,452008,517479,451637,450700,454452,450714,498247,450776,595860,452308,14883593,14883593,2019/6/1,贵州
21378943,11193423,15665696,9553279,23466875,1173148,1011573,1171728,940470,906270,935065,907502,1060320,914214,1235082,930508,13934522,13934522,2019/11/1,上海
17765128,5883722,15082742,5281016,19309551,614643,538392,670974,541141,532288,547091,532758,623431,533830,744783,541830,12681493,12681493,2020/7/1,新疆
11852991,5353227,10684454,4835507,14712944,483905,449153,547573,451022,446611,453358,446789,504570,447040,600965,449953,9360335,9360335,2020/3/1,甘肃
10512888,4789772,9549162,4350398,13235526,499487,475059,555746,476552,473332,477603,473408,521079,473640,598679,475700,8715799,8715799,2019/12/1,甘肃
20205010,7931691,17881791,7382114,24241430,847167,739882,935215,742929,731212,758321,731888,882381,734177,1111694,750641,14782332,14782332,2020/1/1,江西
634352,186838,568028,170309,696648,112935,111392,112600,111361,111292,111607,111308,111858,111299,113467,111355,618665,618665,2020/5/1,西藏
31382162,14036486,20434213,11649401,29588987,1314924,951224,1140020,821961,764516,838277,770579,966212,777147,1272027,811910,15951818,15951818,2020/8/1,上海
50535971,13750879,41950029,12663902,51916763,1224315,874771,1194129,866801,846103,901950,847798,1090750,850522,1514414,873650,31414143,31414143,2020/4/1,湖南
27042632,9826672,22644996,9002111,30490928,638718,469256,747655,482094,459810,487262,460865,670433,464150,935285,484524,17710749,17710749,2020/7/1,黑龙江
8060988,7021822,7286661,6697827,13416644,722469,708699,838280,710089,707133,709151,707151,803627,707410,880643,708596,8760023,8760023,2019/6/1,山西
6913281,2837818,6319086,2651207,8434084,129380,102641,175438,104463,101359,110460,101403,157357,101929,250397,105319,4696190,4696190,2019/9/1,海南
21715143,9797769,19448617,9182330,27588255,935173,895534,1180713,906105,893061,899559,893129,1115031,895624,1303120,904987,18168042,18168042,2019/10/1,广西
692919,194937,620495,177029,751617,112084,110219,111521,110175,110096,110475,110113,110699,110107,112577,110169,652145,652145,2020/7/1,西藏
7907166,3675577,7252735,3362385,10155958,450040,438296,490842,439135,437602,439360,437627,468329,437713,514075,438496,7058239,7058239,2019/8/1,甘肃
24941826,8882132,21021055,8163274,28249703,664626,534476,780359,545911,527865,547155,528530,713916,531343,936973,547123,16943136,16943136,2020/3/1,黑龙江
4123910,2263136,3534380,2123541,5345642,210235,197233,248671,198000,196381,197553,196391,235067,196573,272142,197469,3330269,3330269,2019/7/1,宁夏
6803046,2319765,6285763,2227779,8307355,497228,493219,516520,493184,492846,493237,492847,510990,492887,529131,493092,6775989,6775989,2019/4/1,新疆
103210113,37538854,91524325,34129505,116907231,2318332,1226249,2375438,1312119,1138692,1589915,1147446,2093002,1209147,3774682,1405795,54634070,54634070,2020/2/1,江苏
17284849,8312813,15366391,7775631,22028225,1391645,1357974,1564860,1361816,1353648,1357996,1353688,1511227,1354740,1638013,1359855,15641051,15641051,2019/7/1,云南
3433054,2846201,3164984,2655131,5619408,492944,487346,555110,491569,485859,486747,485858,536752,487633,560754,489235,4074119,4074119,2019/5/1,天津
99614967,61374239,87747720,55403128,135481102,4000423,3513978,5557691,3693075,3456683,3598885,3462542,5029360,3538255,6399042,3694211,75065897,75065897,2020/4/1,广东
9622263,5640043,8863112,5437186,13983030,1106443,1098477,1193926,1101239,1097880,1098946,1097872,1176785,1098836,1222981,1100308,10805912,10805912,2019/4/1,辽宁
